,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
0,0909,CN,5,40%,3.4,2.2,2.2,5.2,8.2,364,77.1%,24.4,553,-,-,-,-,-,-,-,-,-,-,-
1,0din,CN,11,36.4%,2.3,2.5,3.9,6.4,7.9,377,48.7%,19.0,450,1.12,0.45,0.23,0.16,-320,-4,-183,18.2%,18.2%,0,2
2,1116,TW,38,52.6%,3.7,3.3,2.7,6.7,8.5,403,73%,27.1,689,1.26,0.5,0.25,0.26,136,0,-8,28.9%,2.6%,0,12
3,113,TR,22,54.5%,3.1,2.8,4.5,10.9,5.4,346,77.7%,15.1,410,1.24,0.26,0.3,0.23,297,-1,28,36.4%,9.1%,0,4
4,1Jiang,TW,44,59.1%,3.5,3.9,2.4,4.3,8.6,414,58.7%,24.7,619,1.09,0.41,0.2,0.2,172,4,114,22.7%,13.6%,0,18
5,1xn,CN,40,42.5%,3.8,3.3,2.3,5.4,8.8,424,68.4%,29.6,643,-,-,-,-,-,-,-,-,-,-,-
6,23Nino,GR,12,33.3%,1.8,2.2,3.3,3.8,7.9,383,53.9%,23.4,544,0.84,0.34,0.14,0.06,-709,-15,-768,8.3%,0%,0,2
7,2T,VN,20,0%,1.0,2.4,4.9,2.7,7.8,362,42%,22.9,492,1.05,0.5,0.15,0.26,-555,-10,-338,5%,15%,0,11
8,369,CN,57,73.7%,4.3,3.3,1.9,5.0,8.8,422,54.6%,23.9,621,-,-,-,-,-,-,-,-,-,-,-
9,5Kid,KR,30,26.7%,2.5,3.8,3.4,4.8,8.2,404,72%,28.2,604,1.55,0.65,0.38,0.21,40,-4,3,33.3%,13.3%,2,3
10,665,TW,42,54.8%,2.8,3.3,4.2,8.2,5.7,352,67.2%,14.1,417,1.46,0.42,0.36,0.31,131,3,107,31%,11.9%,0,6
11,ACD,EE,22,50%,2.0,2.5,3.7,4.9,7.7,387,51.9%,24.7,561,1.13,0.43,0.18,0.11,-128,-4,-298,9.1%,13.6%,0,8
12,AHaHaCiK,RU,18,38.9%,2.6,2.4,3.9,7.8,4.9,313,72.3%,16.1,392,1.42,0.37,0.33,0.28,-495,-9,-501,27.8%,5.6%,0,3
13,AKLASS,KW,21,61.9%,5.5,5.8,2.0,5.4,8.6,439,71.4%,27.7,702,1.19,0.46,0.29,0.13,144,16,95,19%,4.8%,1,1
14,AKi,CN,65,55.4%,3.9,2.2,2.4,6.9,5.8,337,69%,12.3,306,-,-,-,-,-,-,-,-,-,-,-
15,APA,US,33,63.6%,4.0,3.9,2.7,6.7,8.9,435,68.7%,29.4,753,1.52,0.58,0.29,0.21,-49,-3,43,18.2%,6.1%,0,10
16,Abagnale,TR,16,31.3%,2.0,1.0,4.4,8.1,1.2,250,74.5%,7.7,160,3.46,1.96,0.4,0.53,-35,1,-194,37.5%,6.3%,0,-
17,Able,CN,37,48.6%,3.5,3.4,2.4,5.1,9.0,429,67.4%,29.6,682,-,-,-,-,-,-,-,-,-,-,-
18,Abner,ES,13,15.4%,2.3,2.7,3.0,4.3,8.4,380,74.9%,26.6,588,0.75,0.27,0.24,0,-556,-8,-325,15.4%,0%,0,2
19,Acce,AR,30,26.7%,2.0,1.9,2.9,3.7,7.8,366,44.3%,20.0,428,0.93,0.36,0.15,0.16,-201,-5,-117,10%,6.7%,0,6
20,Ace0,ES,20,55%,3.0,2.9,3.2,6.6,8.2,397,71%,21.6,532,1.28,0.45,0.32,0.15,-385,-4,-18,25%,15%,0,2
21,Acee,JP,31,32.3%,3.2,3.1,2.7,5.5,8.4,389,63.7%,26.0,603,1.13,0.48,0.18,0.21,-349,-9,-247,16.1%,0%,0,7
22,Achille,FR,14,21.4%,1.8,2.9,3.7,3.8,6.6,347,48%,22.4,463,0.61,0.3,0.1,0.01,-520,-16,-86,7.1%,0%,0,4
23,Ackerman,AR,37,86.5%,9.1,1.4,1.6,12.8,1.7,295,78.6%,11.6,304,3.28,1.59,0.44,0.42,364,3,447,27%,13.5%,0,-
