,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
0,100 Thieves,S14,,26,53.8%,0.96,1842,-4,32:42,15.0,15.5,6.2,6.1,42.3,34.6,2.19,46.7,2.5,0.50,52.0,0.88,-0.2,-544,2.62,0.73,48.7,32.9,2591,3.2,1.19,1.63
1,A One Man Army,S14,BE,30,56.7%,1.08,1846,35,32:26,16.5,15.4,6.6,5.9,40.0,50.0,2.43,51.3,3.4,0.57,58.6,1.00,0.1,239,3.76,0.67,55.8,31.0,2390,2.9,0.71,1.32
2,Aegis,S14,FR,18,16.7%,0.6,1679,-240,32:51,9.2,15.3,3.4,8.4,38.9,22.2,1.72,39.0,1.7,0.39,38.9,0.61,-0.4,-1767,2.39,0.17,14.7,32.3,2196,3.6,1.14,1.49
3,Akroma,S14,FR,18,27.8%,0.63,1709,-193,30:52,10.0,15.8,4.1,7.8,55.6,22.2,1.78,38.2,2.6,0.33,33.3,0.78,-0.3,-1316,2.44,0.39,33.3,31.5,2004,3.4,1.01,1.40
4,All for One Gaming,S14,DE,18,38.9%,0.93,1838,-63,32:03,15.8,16.9,6.6,7.2,77.8,44.4,2.11,46.8,2.5,0.33,33.3,0.89,0.1,-486,4.44,0.5,43.5,31.5,2404,3.3,0.86,1.15
5,All Knights,S14,LAT,38,44.7%,0.76,1824,-86,31:10,14.1,18.5,5.8,6.6,44.7,42.1,2.5,56.1,2.3,0.34,34.2,1.21,-0.2,-856,3.00,0.5,38.4,32.5,2381,3.5,1.23,1.55
6,aNc Outplayed,S14,IT,19,63.2%,1.39,1871,101,32:22,18.8,13.5,6.8,5.6,52.6,52.6,2.68,61.3,2.5,0.74,77.8,1.06,-0.2,1166,3.50,0.84,60.2,31.9,2491,3.0,0.93,1.18
7,Ankora Gaming,S14,RS,14,28.6%,0.84,1836,-10,34:21,15.0,17.8,5.9,7.2,50.0,57.1,2.5,52.3,2.6,0.43,42.9,1.07,0.1,-260,3.43,0.93,53.8,32.5,2336,2.9,0.89,1.25
8,Anorthosis Famagusta Esports,S14,GR,28,64.3%,1.48,1953,188,31:37,18.9,12.8,7.7,4.8,50.0,67.9,2.54,56.6,2.7,0.46,46.4,0.96,0.2,1028,4.89,1.04,73.5,33.2,2655,3.4,1.08,1.51
9,Antic Esports,S14,OCE,26,57.7%,1.12,1884,37,32:12,16.7,14.9,7.4,6.0,53.8,57.7,2.31,47.5,2.6,0.54,53.8,0.77,0.1,-99,4.46,0.81,48.5,32.5,2488,3.0,0.86,1.29
